MSOA21CD,MSOA21NM,Dist-Westminster018
E02000001,City of London 001,2.911519005
E02000002,Barking and Dagenham 001,20.91123407
E02000003,Barking and Dagenham 002,20.41791234
E02000004,Barking and Dagenham 003,22.14515155
E02000005,Barking and Dagenham 004,20.07908298
E02000007,Barking and Dagenham 006,20.91139302
E02000008,Barking and Dagenham 007,19.27715961
E02000009,Barking and Dagenham 008,18.11030176
E02000010,Barking and Dagenham 009,20.00692053
E02000011,Barking and Dagenham 010,21.37860714
E02000012,Barking and Dagenham 011,16.5892056
E02000013,Barking and Dagenham 012,18.16480838
E02000014,Barking and Dagenham 013,19.56570228
E02000015,Barking and Dagenham 014,20.7680391
E02000016,Barking and Dagenham 015,14.87267164
E02000017,Barking and Dagenham 016,15.70401378
E02000018,Barking and Dagenham 017,17.33075674
E02000019,Barking and Dagenham 018,18.72397145
E02000020,Barking and Dagenham 019,16.74740932
E02000021,Barking and Dagenham 020,19.94276162
E02000022,Barking and Dagenham 021,15.02482886
E02000023,Barking and Dagenham 022,17.20169323
E02000024,Barnet 001,17.39265494
E02000025,Barnet 002,16.70983522
E02000026,Barnet 003,15.65622339
E02000027,Barnet 004,16.05783892
E02000028,Barnet 005,15.48672776
E02000029,Barnet 006,15.11442473
E02000030,Barnet 007,15.93809578
E02000031,Barnet 008,14.17948126
E02000032,Barnet 009,13.7526883
E02000033,Barnet 010,13.22756898
E02000034,Barnet 011,12.96959129
E02000035,Barnet 012,13.17765001
E02000036,Barnet 013,15.67664308
E02000037,Barnet 014,17.04134032
E02000038,Barnet 015,12.06746203
E02000039,Barnet 016,14.14365216
E02000040,Barnet 017,13.514608
E02000041,Barnet 018,15.22320261
E02000042,Barnet 019,11.97314388
E02000043,Barnet 020,12.53388231
E02000044,Barnet 021,14.14148655
E02000045,Barnet 022,11.04063594
E02000046,Barnet 023,11.12866585
E02000047,Barnet 024,13.84300118
E02000048,Barnet 025,12.08172908
E02000049,Barnet 026,13.1031293
E02000050,Barnet 027,10.61307885
E02000051,Barnet 028,10.64595524
E02000052,Barnet 029,9.629778164
E02000054,Barnet 031,11.6547806
E02000055,Barnet 032,10.89876903
E02000056,Barnet 033,8.73673256
E02000057,Barnet 034,10.21198731
E02000058,Barnet 035,9.400728688
E02000059,Barnet 036,10.99897705
E02000060,Barnet 037,9.458504678
E02000061,Barnet 038,8.139377189
E02000062,Barnet 039,9.223670569
E02000063,Barnet 040,8.451449012
E02000064,Barnet 041,7.560297516
E02000065,Bexley 001,18.70967721
E02000066,Bexley 002,18.37526258
E02000067,Bexley 003,19.8758865
E02000068,Bexley 004,21.28075926
E02000069,Bexley 005,20.53974995
E02000070,Bexley 006,18.76949671
E02000071,Bexley 007,20.42419396
E02000072,Bexley 008,23.38849463
E02000073,Bexley 009,18.50370489
E02000074,Bexley 010,21.98796143
E02000075,Bexley 011,19.70869091
E02000077,Bexley 013,17.75933615
E02000078,Bexley 014,21.39742002
E02000079,Bexley 015,19.73745318
E02000080,Bexley 016,17.39849071
E02000081,Bexley 017,21.12872019
E02000082,Bexley 018,16.40392832
E02000083,Bexley 019,22.71842165
E02000084,Bexley 020,19.12222575
E02000085,Bexley 021,18.15863363
E02000086,Bexley 022,17.53042645
E02000087,Bexley 023,21.15631627
E02000088,Bexley 024,19.37923198
E02000089,Bexley 025,17.15584979
E02000090,Bexley 026,18.17613614
E02000091,Bexley 027,19.28543227
E02000092,Bexley 028,20.9933576
E02000093,Brent 001,13.67685461
E02000094,Brent 002,12.54025405
E02000095,Brent 003,13.28693273
E02000096,Brent 004,14.33333981
E02000097,Brent 005,11.88763404
E02000098,Brent 006,12.84475583
E02000099,Brent 007,13.53685136
E02000100,Brent 008,14.62882074
E02000101,Brent 009,11.50833594
E02000102,Brent 010,10.4715659
E02000103,Brent 011,9.377210447
E02000104,Brent 012,12.59669681
E02000105,Brent 013,13.74825426
E02000106,Brent 014,9.856353884
E02000107,Brent 015,8.057047393
E02000108,Brent 016,14.41732557
E02000110,Brent 018,8.502712375
E02000111,Brent 019,12.87278712
E02000112,Brent 020,11.55991838
E02000113,Brent 021,10.11488006
E02000114,Brent 022,7.92699319
E02000115,Brent 023,7.025314785
E02000116,Brent 024,8.330336254
E02000117,Brent 025,9.093307768
E02000118,Brent 026,11.52702195
E02000119,Brent 027,10.03668106
E02000120,Brent 028,5.892490044
E02000121,Brent 029,12.15531933
E02000122,Brent 030,7.081898208
E02000123,Brent 031,8.437518781
E02000124,Brent 032,6.210491477
E02000125,Brent 033,7.279836586
E02000126,Brent 034,5.240970104
E02000127,Bromley 001,14.63209022
E02000128,Bromley 002,17.13140648
E02000130,Bromley 004,11.58304736
E02000131,Bromley 005,10.79809395
E02000132,Bromley 006,12.59239696
E02000133,Bromley 007,17.20525589
E02000134,Bromley 008,14.97229215
E02000135,Bromley 009,11.77880126
E02000136,Bromley 010,19.07861468
E02000137,Bromley 011,14.37906407
E02000138,Bromley 012,13.83932147
E02000139,Bromley 013,12.66767407
E02000140,Bromley 014,20.34885871
E02000141,Bromley 015,12.56176179
E02000142,Bromley 016,16.28235801
E02000144,Bromley 018,15.85222064
E02000145,Bromley 019,22.62075331
E02000146,Bromley 020,17.13423386
E02000147,Bromley 021,15.54184755
E02000148,Bromley 022,18.64090708
E02000149,Bromley 023,20.95504476
E02000150,Bromley 024,15.04435393
E02000151,Bromley 025,20.01922926
E02000152,Bromley 026,18.67730698
E02000153,Bromley 027,17.09236256
E02000154,Bromley 028,21.3447306
E02000155,Bromley 029,22.40988501
E02000156,Bromley 030,16.82118929
E02000157,Bromley 031,20.81945662
E02000158,Bromley 032,23.11837804
E02000159,Bromley 033,20.06326849
E02000160,Bromley 034,18.73683911
E02000161,Bromley 035,22.47555875
E02000162,Bromley 036,23.0657239
E02000163,Bromley 037,24.67625373
E02000165,Bromley 039,23.99531188
E02000166,Camden 001,6.545565271
E02000167,Camden 002,6.65324289
E02000168,Camden 003,5.324904501
E02000169,Camden 004,6.58434026
E02000170,Camden 005,6.995802756
E02000171,Camden 006,5.290692746
E02000172,Camden 007,4.789402203
E02000173,Camden 008,5.493630455
E02000174,Camden 009,4.528038842
E02000175,Camden 010,6.075288113
E02000176,Camden 011,5.04706636
E02000177,Camden 012,4.451433522
E02000178,Camden 013,6.342863862
E02000179,Camden 014,4.642603715
E02000180,Camden 015,4.057708685
E02000181,Camden 016,5.488463959
E02000182,Camden 017,4.542981971
E02000183,Camden 018,3.864054641
E02000184,Camden 019,3.508370861
E02000185,Camden 020,5.146734275
E02000186,Camden 021,2.911431918
E02000187,Camden 022,2.913925664
E02000188,Camden 023,2.373397537
E02000191,Camden 026,1.617408403
E02000192,Camden 027,2.054291683
E02000193,Camden 028,1.389802173
E02000194,Croydon 001,10.75502131
E02000195,Croydon 002,10.39689107
E02000196,Croydon 003,10.96709773
E02000197,Croydon 004,11.30521808
E02000198,Croydon 005,11.57808275
E02000199,Croydon 006,12.01313451
E02000200,Croydon 007,12.24022536
E02000201,Croydon 008,12.8083721
E02000202,Croydon 009,12.19815713
E02000203,Croydon 010,12.59467629
E02000204,Croydon 011,12.6404542
E02000206,Croydon 013,13.37541423
E02000207,Croydon 014,14.06912363
E02000208,Croydon 015,13.41174675
E02000209,Croydon 016,13.44614163
E02000210,Croydon 017,14.20948988
E02000211,Croydon 018,15.1124892
E02000212,Croydon 019,14.24329043
E02000213,Croydon 020,14.2494567
E02000214,Croydon 021,15.01984561
E02000215,Croydon 022,14.77345392
E02000216,Croydon 023,15.87164334
E02000217,Croydon 024,15.1452172
E02000218,Croydon 025,16.79278206
E02000219,Croydon 026,16.95751096
E02000221,Croydon 028,16.63803349
E02000222,Croydon 029,16.98426832
E02000223,Croydon 030,18.81552746
E02000224,Croydon 031,17.81985367
E02000225,Croydon 032,19.65064679
E02000226,Croydon 033,18.0985933
E02000227,Croydon 034,19.21716248
E02000228,Croydon 035,18.93121742
E02000229,Croydon 036,20.88810097
E02000230,Croydon 037,18.79720199
E02000231,Croydon 038,19.30365551
E02000232,Croydon 039,20.39083161
E02000233,Croydon 040,20.54244693
E02000234,Croydon 041,20.80475859
E02000235,Croydon 042,21.31270228
E02000236,Croydon 043,22.01752726
E02000237,Croydon 044,22.99017914
E02000238,Ealing 001,15.74672586
E02000239,Ealing 002,14.17988262
E02000240,Ealing 003,17.3916338
E02000241,Ealing 004,16.61777335
E02000242,Ealing 005,12.95745794
E02000243,Ealing 006,15.12316934
E02000244,Ealing 007,13.54327054
E02000245,Ealing 008,17.80717847
E02000246,Ealing 009,18.83727559
E02000247,Ealing 010,16.60625631
E02000248,Ealing 011,11.28385484
E02000249,Ealing 012,15.46471302
E02000250,Ealing 013,12.35453715
E02000251,Ealing 014,16.10467802
E02000252,Ealing 015,9.271515305
E02000253,Ealing 016,14.22618059
E02000254,Ealing 017,16.76135733
E02000255,Ealing 018,13.38653369
E02000256,Ealing 019,12.62723699
E02000258,Ealing 021,9.81011589
E02000259,Ealing 022,14.59996122
E02000260,Ealing 023,16.58919129
E02000261,Ealing 024,8.400519134
E02000262,Ealing 025,9.458702107
E02000263,Ealing 026,17.61399244
E02000264,Ealing 027,10.59014632
E02000265,Ealing 028,13.36657417
E02000266,Ealing 029,15.53572274
E02000267,Ealing 030,14.24814757
E02000268,Ealing 031,11.69344884
E02000269,Ealing 032,12.57174351
E02000270,Ealing 033,9.773371878
E02000271,Ealing 034,8.70438075
E02000272,Ealing 035,13.65998688
E02000275,Ealing 038,16.65850444
E02000276,Ealing 039,12.39449564
E02000277,Enfield 001,20.09438505
E02000278,Enfield 002,19.52009476
E02000279,Enfield 003,19.88497233
E02000280,Enfield 004,19.029897
E02000281,Enfield 005,18.28228389
E02000282,Enfield 006,18.43217488
E02000283,Enfield 007,18.28129472
E02000284,Enfield 008,17.11632421
E02000285,Enfield 009,17.28896903
E02000286,Enfield 010,17.07879341
E02000287,Enfield 011,17.37938455
E02000288,Enfield 012,16.92541555
E02000289,Enfield 013,16.29663922
E02000290,Enfield 014,17.55328853
E02000291,Enfield 015,15.90821676
E02000292,Enfield 016,16.09054638
E02000293,Enfield 017,15.39309912
E02000294,Enfield 018,15.8521317
E02000295,Enfield 019,14.66125743
E02000296,Enfield 020,14.89179674
E02000297,Enfield 021,14.67374503
E02000298,Enfield 022,14.10014386
E02000299,Enfield 023,14.88403007
E02000300,Enfield 024,14.51595619
E02000301,Enfield 025,14.85783552
E02000302,Enfield 026,13.36489141
E02000303,Enfield 027,13.50097864
E02000304,Enfield 028,12.84399638
E02000305,Enfield 029,12.86898576
E02000306,Enfield 030,13.6380666
E02000307,Enfield 031,12.96585575
E02000308,Enfield 032,11.96547911
E02000309,Enfield 033,12.82004341
E02000311,Enfield 035,11.96184399
E02000312,Enfield 036,11.82564486
E02000313,Greenwich 001,17.20268109
E02000314,Greenwich 002,16.04829005
E02000315,Greenwich 003,17.15376567
E02000317,Greenwich 005,12.96188941
E02000318,Greenwich 006,16.02805032
E02000319,Greenwich 007,15.13259177
E02000320,Greenwich 008,17.37870436
E02000321,Greenwich 009,14.82208704
E02000323,Greenwich 011,14.37449266
E02000324,Greenwich 012,12.36009627
E02000326,Greenwich 014,11.49957537
E02000327,Greenwich 015,13.58438877
E02000328,Greenwich 016,10.64580194
E02000329,Greenwich 017,15.55626684
E02000331,Greenwich 019,12.52027098
E02000332,Greenwich 020,14.55122365
E02000333,Greenwich 021,11.31876926
E02000334,Greenwich 022,12.73858506
E02000335,Greenwich 023,14.59051171
E02000337,Greenwich 025,13.35241931
E02000339,Greenwich 027,14.52555912
E02000340,Greenwich 028,15.28936772
E02000341,Greenwich 029,13.51312949
E02000342,Greenwich 030,16.32184752
E02000343,Greenwich 031,15.29358609
E02000344,Greenwich 032,16.16517115
E02000345,Hackney 001,8.588021544
E02000346,Hackney 002,7.590549854
E02000347,Hackney 003,7.797684726
E02000348,Hackney 004,8.299550411
E02000350,Hackney 006,7.723959175
E02000351,Hackney 007,6.767759815
E02000352,Hackney 008,6.93629028
E02000353,Hackney 009,7.151024783
E02000354,Hackney 010,7.375957883
E02000355,Hackney 011,7.899793862
E02000356,Hackney 012,6.285889785
E02000357,Hackney 013,8.842946011
E02000358,Hackney 014,6.522445966
E02000359,Hackney 015,8.077479684
E02000360,Hackney 016,6.757835962
E02000361,Hackney 017,6.995032183
E02000362,Hackney 018,8.518190466
E02000363,Hackney 019,7.390086536
E02000364,Hackney 020,6.13634136
E02000366,Hackney 022,7.170839834
E02000367,Hackney 023,6.348491121
E02000368,Hackney 024,5.501652071
E02000369,Hackney 025,4.8623499
E02000370,Hackney 026,4.043767797
E02000372,Hammersmith and Fulham 001,7.435154065
E02000373,Hammersmith and Fulham 002,7.091181581
E02000374,Hammersmith and Fulham 003,7.555245228
E02000375,Hammersmith and Fulham 004,6.343620004
E02000376,Hammersmith and Fulham 005,6.772099316
E02000377,Hammersmith and Fulham 006,7.441042994
E02000378,Hammersmith and Fulham 007,6.122016393
E02000379,Hammersmith and Fulham 008,7.884002831
E02000380,Hammersmith and Fulham 009,6.849888676
E02000381,Hammersmith and Fulham 010,6.054085327
E02000382,Hammersmith and Fulham 011,7.546376575
E02000383,Hammersmith and Fulham 012,5.646342111
E02000384,Hammersmith and Fulham 013,6.755106887
E02000385,Hammersmith and Fulham 014,5.901845649
E02000386,Hammersmith and Fulham 015,5.414966535
E02000387,Hammersmith and Fulham 016,6.275097129
E02000388,Hammersmith and Fulham 017,5.310739005
E02000389,Hammersmith and Fulham 018,6.872826377
E02000390,Hammersmith and Fulham 019,6.117572076
E02000391,Hammersmith and Fulham 020,5.389729905
E02000392,Hammersmith and Fulham 021,5.992432615
E02000393,Hammersmith and Fulham 022,6.532755657
E02000394,Hammersmith and Fulham 023,5.305465828
E02000395,Hammersmith and Fulham 024,6.799869437
E02000396,Hammersmith and Fulham 025,6.088862381
E02000397,Haringey 001,10.92124678
E02000398,Haringey 002,12.02826763
E02000400,Haringey 004,10.82348194
E02000401,Haringey 005,11.10811488
E02000402,Haringey 006,11.22862107
E02000403,Haringey 007,10.73199043
E02000404,Haringey 008,10.65363785
E02000405,Haringey 009,9.946270457
E02000406,Haringey 010,10.09301261
E02000407,Haringey 011,10.54963567
E02000408,Haringey 012,10.76518797
E02000409,Haringey 013,10.11216651
E02000410,Haringey 014,9.723113764
E02000411,Haringey 015,10.84258577
E02000412,Haringey 016,9.636597709
E02000413,Haringey 017,9.705915966
E02000414,Haringey 018,9.976371816
E02000415,Haringey 019,9.566225583
E02000416,Haringey 020,8.96097195
E02000417,Haringey 021,8.782025813
E02000418,Haringey 022,8.728601654
E02000419,Haringey 023,8.884292284
E02000420,Haringey 024,9.426694916
E02000421,Haringey 025,9.690745575
E02000422,Haringey 026,8.942903782
E02000423,Haringey 027,8.627549143
E02000424,Haringey 028,8.258056577
E02000425,Haringey 029,9.103839865
E02000426,Haringey 030,8.05118211
E02000427,Haringey 031,7.720295918
E02000428,Haringey 032,8.402072387
E02000429,Haringey 033,7.807344506
E02000430,Haringey 034,7.742735321
E02000431,Haringey 035,7.293261143
E02000432,Haringey 036,7.382670632
E02000433,Harrow 001,18.38570997
E02000434,Harrow 002,16.09668943
E02000435,Harrow 003,17.46619208
E02000436,Harrow 004,19.81345507
E02000437,Harrow 005,18.05223686
E02000438,Harrow 006,19.50355002
E02000439,Harrow 007,14.8101933
E02000440,Harrow 008,16.43693646
E02000441,Harrow 009,21.10058197
E02000442,Harrow 010,14.75902736
E02000443,Harrow 011,17.56004105
E02000444,Harrow 012,15.42555543
E02000445,Harrow 013,16.76837962
E02000447,Harrow 015,18.50269852
E02000448,Harrow 016,19.77654547
E02000449,Harrow 017,14.3878907
E02000451,Harrow 019,18.69244587
E02000452,Harrow 020,16.80535173
E02000453,Harrow 021,17.39905064
E02000454,Harrow 022,19.36503301
E02000455,Harrow 023,15.95199713
E02000456,Harrow 024,17.2606137
E02000457,Harrow 025,18.06800674
E02000459,Harrow 027,16.62423781
E02000460,Harrow 028,17.61110576
E02000461,Harrow 029,15.60220512
E02000462,Harrow 030,16.78125979
E02000463,Harrow 031,17.69533811
E02000464,Havering 001,27.5931229
E02000465,Havering 002,28.26988182
E02000466,Havering 003,24.93131646
E02000467,Havering 004,26.65101858
E02000468,Havering 005,23.1102345
E02000469,Havering 006,25.57518281
E02000470,Havering 007,28.08850622
E02000471,Havering 008,24.04869966
E02000472,Havering 009,22.99738862
E02000473,Havering 010,26.59491887
E02000474,Havering 011,22.11424881
E02000475,Havering 012,24.92056565
E02000476,Havering 013,23.27936656
E02000477,Havering 014,24.61847815
E02000478,Havering 015,26.29659674
E02000479,Havering 016,23.55701354
E02000480,Havering 017,21.76820325
E02000481,Havering 018,30.10359694
E02000482,Havering 019,27.76180605
E02000483,Havering 020,25.15186117
E02000484,Havering 021,23.63419296
E02000485,Havering 022,26.33404577
E02000486,Havering 023,24.25905678
E02000487,Havering 024,27.19845008
E02000488,Havering 025,24.51389006
E02000489,Havering 026,23.12594722
E02000490,Havering 027,22.95621142
E02000491,Havering 028,21.47819666
E02000492,Havering 029,23.70104937
E02000493,Havering 030,23.11967732
E02000494,Hillingdon 001,23.79689059
E02000495,Hillingdon 002,22.54316373
E02000496,Hillingdon 003,25.85101069
E02000497,Hillingdon 004,21.2374817
E02000498,Hillingdon 005,22.95910902
E02000499,Hillingdon 006,19.84200583
E02000500,Hillingdon 007,21.58023309
E02000501,Hillingdon 008,19.79073764
E02000502,Hillingdon 009,21.25132527
E02000503,Hillingdon 010,19.97402399
E02000504,Hillingdon 011,22.92764782
E02000506,Hillingdon 013,23.83059841
E02000507,Hillingdon 014,21.37811454
E02000508,Hillingdon 015,23.71191972
E02000509,Hillingdon 016,24.683188
E02000510,Hillingdon 017,22.6998731
E02000511,Hillingdon 018,20.50739413
E02000512,Hillingdon 019,21.66839261
E02000513,Hillingdon 020,18.69506834
E02000514,Hillingdon 021,19.44039585
E02000515,Hillingdon 022,24.10617145
E02000516,Hillingdon 023,17.72766149
E02000517,Hillingdon 024,21.15984156
E02000518,Hillingdon 025,22.61554441
E02000519,Hillingdon 026,19.00343678
E02000520,Hillingdon 027,20.15272265
E02000521,Hillingdon 028,22.06645837
E02000522,Hillingdon 029,23.60221187
E02000523,Hillingdon 030,20.23967619
E02000524,Hillingdon 031,23.35419032
E02000525,Hillingdon 032,20.47881738
E02000526,Hounslow 001,8.356477919
E02000529,Hounslow 004,17.00277546
E02000530,Hounslow 005,18.60896276
E02000531,Hounslow 006,12.84812005
E02000532,Hounslow 007,9.277939138
E02000533,Hounslow 008,10.24580751
E02000534,Hounslow 009,14.6637457
E02000535,Hounslow 010,18.11894374
E02000536,Hounslow 011,17.00684764
E02000537,Hounslow 012,15.79021557
E02000538,Hounslow 013,19.33605426
E02000539,Hounslow 014,14.22834037
E02000540,Hounslow 015,15.55042543
E02000541,Hounslow 016,18.41703752
E02000542,Hounslow 017,17.46673357
E02000543,Hounslow 018,16.77004377
E02000544,Hounslow 019,15.82477448
E02000545,Hounslow 020,14.57935598
